sample_names,predicted_MLST
PSM001,3
PSM002,16
PSM003,17
PSM004,16
PSM005,63
PSM006,14
PSM007,10
PSM008,2
PSM009,54
PSM010,10
PSM011,2
PSM012,2
PSM013,16
PSM014,16
PSM015,2
PSM016,45
PSM017,2
PSM018,54
PSM019,3
PSM020,18
PSM021,2
PSM022,18
PSM023,54
PSM024,16
PSM025,63
PSM026,2
PSM027,63
PSM029,16
PSM030,16
PSM031,63
PSM032,3
PSM033,18
PSM034,2
PSM035,18
PSM036,2
PSM037,34
PSM038,3
PSM039,3
PSM040,16
PSM041,54
PSM042,17
PSM043,16
PSM044,2
PSM045,217
PSM046,3
PSM047,11
PSM048,45
PSM049,3
PSM050,16
PSM051,16
PSM052,6
PSM053,2
PSM054,631
PSM055,63
PSM056,18
PSM057,3
PSM058,16
PSM059,54
PSM060,10
PSM061,10
PSM062,63
PSM063,54
PSM064,18
PSM065,16
PSM066,3
PSM067,3
PSM068,16
PSM069,63
PSM070,3
PSM071,63
PSM073,230
PSM074,631
PSM075,15
PSM076,529
PSM077,17
PSM078,16
PSM079,18
PSM080,69
PSM081,63
PSM082,150
PSM083,11
PSM084,16
PSM085,14
PSM086,3
PSM087,16
PSM088,45
PSM089,3
PSM090,444
PSM091,45
PSM092,45
PSM093,45
PSM095,54
PSM096,2
PSM097,63
PSM098,2
PSM099,16
PSM100,16
PSM101,3
PSM102,16
PSM103,16
PSM104,16
PSM105,16
PSM106,63
PSM107,16
PSM108,631
PSM109,34
PSM110,18
PSM111,17
PSM112,39
PSM113,11
PSM114,63
PSM115,2
PSM116,16
PSM117,63
PSM118,16
PSM119,3
PSM120,63
PSM121,3
PSM122,33
PSM123,217
PSM124,14
PSM125,3
PSM126,17
PSM127,16
PSM128,63
PSM129,16
PSM130,16
PSM131,10
PSM132,631
PSM133,63
PSM134,45
PSM135,16
PSM136,18
PSM137,3
PSM138,45
PSM139,16
PSM140,2
PSM141,3
PSM142,63
PSM143,16
PSM144,10
PSM145,16
PSM146,3
PSM147,63
PSM148,7
PSM149,16
PSM150,2
PSM151,16
PSM152,45
PSM153,3
PSM154,16
PSM155,16
PSM156,3
PSM157,10
PSM158,63
PSM159,7
PSM160,10
PSM161,16
PSM162,16
PSM163,11
PSM164,45
PSM165,3
PSM166,10
PSM167,63
PSM168,10
PSM169,45
PSM170,63
PSM171,2
PSM172,18
PSM173,63
PSM174,10
PSM175,63
PSM176,2
PSM177,18
PSM178,18
PSM179,16
PSM181,16
PSM182,18
PSM183,88
PSM184,63
PSM185,3
PSM186,3
PSM189,18
PSM190,3
PSM191,63
PSM192,16
PSM193,16
PSM194,11
PSM195,17
PSM196,3
PSM197,3
PSM198,28
PSM199,17
PSM200,16
PSM201,2
PSM202,7
PSM203,16
PSM204,16
PSM205,63
PSM206,18
PSM207,3
PSM208,230
PSM209,34
PSM210,10
PSM211,45
PSM212,16
PSM213,16
PSM214,16
PSM215,16
PSM216,16
PSM217,18
PSM218,10
PSM219,16
PSM220,16
PSM221,7
PSM222,3
PSM223,3
PSM224,6
PSM225,217
PSM226,45
PSM227,16
PSM228,16
PSM229,3
PSM230,2
PSM231,16
PSM232,3
PSM233,3
PSM234,16
PSM235,16
PSM236,49
PSM237,14
PSM238,34
PSM239,16
PSM240,16
PSM241,631
PSM242,7
PSM243,16
PSM244,16
PSM245,63
PSM246,16
PSM247,14
PSM248,18
PSM249,16
PSM250,16
PSM251,18
PSM252,3
PSM253,2
PSM254,2
PSM255,45
PSM256,63
PSM257,18
PSM258,100
PSM259,34
PSM260,16
PSM261,16
PSM262,16
PSM263,3
PSM264,45
PSM265,2
PSM266,3
PSM267,16
PSM268,11
PSM269,15
PSM270,217
PSM271,16
PSM272,63
PSM273,28
PSM274,16
PSM275,16
PSM276,217
PSM277,45
PSM278,217
PSM279,16
PSM280,16
PSM281,10
